OTU;Kingdom;Class;Order;Family;Genus;Species
zeale470;Animalia;NA;NA;NA;NA;NA
zeale471;Animalia;NA;NA;NA;NA;NA
zeale472;Animalia;NA;NA;NA;NA;NA
zeale473;Animalia;NA;NA;NA;NA;NA
zeale474;Animalia;NA;NA;NA;NA;NA
zeale475;Animalia;NA;NA;NA;NA;NA
zeale476;Animalia;NA;NA;NA;NA;NA
zeale477;Animalia;NA;NA;NA;NA;NA
zeale478;Animalia;NA;NA;NA;NA;NA
zeale479;Animalia;NA;NA;NA;NA;NA
zeale48;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale480;Animalia;NA;NA;NA;NA;NA
zeale481;Animalia;NA;NA;NA;NA;NA
zeale482;Animalia;NA;NA;NA;NA;NA
zeale483;Animalia;NA;NA;NA;NA;NA
zeale484;Animalia;NA;NA;NA;NA;NA
zeale485;Animalia;NA;NA;NA;NA;NA
zeale486;Animalia;NA;NA;NA;NA;NA
zeale487;Animalia;NA;NA;NA;NA;NA
zeale488;Animalia;NA;NA;NA;NA;NA
zeale489;Animalia;NA;NA;NA;NA;NA
zeale49;Animalia;Insecta;NA;NA;NA;NA
zeale490;Animalia;NA;NA;NA;NA;NA
zeale491;Animalia;NA;NA;NA;NA;NA
zeale492;Animalia;Insecta;Hymenoptera;NA;NA;NA
zeale493;Animalia;NA;NA;NA;NA;NA
zeale494;Animalia;NA;NA;NA;NA;NA
zeale495;Animalia;NA;NA;NA;NA;NA
zeale496;Animalia;NA;NA;NA;NA;NA
zeale497;Animalia;NA;NA;NA;NA;NA
zeale498;Animalia;NA;NA;NA;NA;NA
zeale499;Animalia;Chromadorea;Strongylida;NA;NA;NA
zeale5;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale50;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale500;Animalia;NA;NA;NA;NA;NA
zeale501;Animalia;NA;NA;NA;NA;NA
zeale502;Animalia;NA;NA;NA;NA;NA
zeale503;Animalia;NA;NA;NA;NA;NA
zeale504;Animalia;NA;NA;NA;NA;NA
zeale505;Animalia;NA;NA;NA;NA;NA
zeale506;Animalia;NA;NA;NA;NA;NA
zeale507;Animalia;NA;NA;NA;NA;NA
zeale508;Animalia;NA;NA;NA;NA;NA
zeale509;Animalia;Arachnida;Sarcoptiformes;NA;NA;NA
zeale51;Animalia;NA;NA;NA;NA;NA
zeale510;Animalia;NA;NA;NA;NA;NA
zeale511;Animalia;Insecta;NA;NA;NA;NA
zeale512;Animalia;NA;NA;NA;NA;NA
zeale513;Animalia;NA;NA;NA;NA;NA
zeale514;Animalia;NA;NA;NA;NA;NA
zeale515;Animalia;NA;NA;NA;NA;NA
zeale516;Animalia;NA;NA;NA;NA;NA
zeale517;Animalia;NA;NA;NA;NA;NA
zeale518;Animalia;NA;NA;NA;NA;NA
zeale519;Animalia;NA;NA;NA;NA;NA
zeale52;Animalia;Insecta;Diptera;Muscidae;NA;NA
zeale520;Animalia;NA;NA;NA;NA;NA
zeale521;Animalia;NA;NA;NA;NA;NA
zeale522;Animalia;NA;NA;NA;NA;NA
zeale523;Animalia;NA;NA;NA;NA;NA
zeale524;Animalia;NA;NA;NA;NA;NA
zeale525;Animalia;NA;NA;NA;NA;NA
zeale526;Animalia;NA;NA;NA;NA;NA
zeale527;Animalia;NA;NA;NA;NA;NA
zeale53;Animalia;NA;NA;NA;NA;NA
zeale54;Animalia;NA;NA;NA;NA;NA
zeale55;Animalia;Insecta;Orthoptera;Acrididae;NA;NA
zeale56;Animalia;Arachnida;Araneae;NA;NA;NA
zeale57;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale58;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale59;Animalia;Arachnida;NA;NA;NA;Arachnida sp. BOLD:ACM7119
zeale6;Animalia;Arachnida;Sarcoptiformes;NA;NA;NA
zeale60;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale61;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale62;Animalia;NA;NA;NA;NA;NA
zeale63;Animalia;Insecta;NA;NA;NA;NA
zeale64;Animalia;Insecta;Diptera;Cecidomyiidae;NA;NA
zeale65;Animalia;Insecta;Diptera;Cecidomyiidae;NA;NA
zeale66;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale67;Animalia;Insecta;Lepidoptera;Erebidae;Sphingomorpha;Sphingomorpha chlorea
zeale68;Animalia;Insecta;Diptera;Phoridae;NA;NA
zeale69;Animalia;Bdelloidea;NA;NA;NA;NA
zeale7;Animalia;Insecta;Diptera;NA;NA;NA
zeale70;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale71;Animalia;Diplopoda;Spirostreptida;Spirostreptidae;Doratogonus;Doratogonus sp. GG-2003
zeale72;Animalia;Bdelloidea;NA;NA;NA;NA
zeale73;Animalia;NA;NA;NA;NA;NA
zeale74;Animalia;Insecta;NA;NA;NA;NA
zeale75;Animalia;Chromadorea;Rhabditida;Aphelenchoididae;Bursaphelenchus;Bursaphelenchus mucronatus
zeale76;Animalia;Insecta;NA;NA;NA;NA
zeale77;Animalia;NA;NA;NA;NA;NA
zeale78;Animalia;Insecta;Orthoptera;Acrididae;Schistocerca;NA
zeale79;Animalia;Arachnida;Araneae;NA;NA;NA
zeale8;Animalia;Insecta;Orthoptera;Gryllidae;Gryllus;Gryllus bimaculatus
zeale80;Animalia;Chromadorea;Rhabditida;NA;NA;Rhabditida sp. 3059ed
zeale81;Animalia;Bdelloidea;Philodinida;Philodinidae;Philodina;NA
zeale82;Animalia;Arachnida;Trombidiformes;Eupodidae;NA;Eupodidae sp. BOLD:ACI9996
zeale83;Animalia;Insecta;Diptera;NA;NA;NA
zeale84;Animalia;NA;Saprolegniales;Saprolegniaceae;Brevilegnia;Brevilegnia variabilis
zeale85;Animalia;Bdelloidea;NA;NA;NA;NA
zeale86;Animalia;NA;Longamoebia;Acanthamoebidae;Acanthamoeba;Acanthamoeba castellanii
zeale87;Animalia;Insecta;Diptera;NA;NA;NA
zeale88;Animalia;Insecta;Coleoptera;Scarabaeidae;Onthophagus;Onthophagus sp. 4 CWC-2007
zeale89;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale9;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale90;Animalia;Insecta;NA;NA;NA;NA
zeale91;Animalia;Bdelloidea;NA;NA;NA;NA
zeale92;Animalia;Insecta;NA;NA;NA;NA
zeale93;Animalia;Insecta;Diptera;NA;NA;NA
zeale94;Animalia;Bdelloidea;NA;NA;NA;NA
zeale95;Animalia;Bdelloidea;NA;NA;NA;NA
zeale96;Animalia;NA;NA;NA;NA;NA
zeale97;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale98;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale99;Animalia;Bdelloidea;NA;NA;NA;NA
