OTU;Kingdom;Class;Order;Family;Genus;Species
trac14;Plantae;Magnoliopsida;Rosales;Rhamnaceae;Ziziphus;Ziziphus mucronata
trac140;Plantae;NA;NA;NA;NA;NA
trac141;Plantae;Magnoliopsida;Solanales;Convolvulaceae;Convolvulus;NA
trac142;Plantae;Magnoliopsida;Fagales;Fagaceae;Fagus;NA
trac143;Plantae;NA;NA;NA;NA;NA
trac144;Plantae;Magnoliopsida;Asparagales;Asparagaceae;Asparagus;NA
trac145;Plantae;NA;NA;NA;NA;NA
trac146;Plantae;Magnoliopsida;Rosales;Rhamnaceae;Helinus;Helinus integrifolius
trac147;Plantae;NA;NA;NA;NA;NA
trac148;Plantae;Magnoliopsida;Ericales;Ericaceae;NA;NA
trac149;Plantae;NA;NA;NA;NA;NA
trac15;Plantae;Magnoliopsida;Malvales;Malvaceae;Malvastrum;Malvastrum coromandelianum
trac150;Plantae;Magnoliopsida;Asterales;Asteraceae;NA;NA
trac151;Plantae;Magnoliopsida;Asterales;Asteraceae;Tridax;Tridax procumbens
trac152;Plantae;Magnoliopsida;Poales;Poaceae;NA;NA
trac153;Plantae;NA;NA;NA;NA;NA
trac154;Plantae;Magnoliopsida;Apiales;NA;NA;NA
trac155;Plantae;Magnoliopsida;NA;NA;NA;NA
trac156;Plantae;NA;NA;NA;NA;NA
trac157;Plantae;Magnoliopsida;Gentianales;Apocynaceae;NA;NA
trac158;Plantae;Magnoliopsida;Fabales;Fabaceae;NA;NA
trac159;Plantae;NA;NA;NA;NA;NA
trac16;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac160;Plantae;NA;NA;NA;NA;NA
trac161;Plantae;NA;NA;NA;NA;NA
trac162;Plantae;NA;NA;NA;NA;NA
trac163;Plantae;Magnoliopsida;Rosales;Rhamnaceae;Rhamnella;Rhamnella martinii
trac164;Plantae;NA;NA;NA;NA;NA
trac165;Plantae;Magnoliopsida;Fabales;Fabaceae;Senna;NA
trac166;Plantae;NA;NA;NA;NA;NA
trac167;Plantae;Magnoliopsida;Malpighiales;Phyllanthaceae;Phyllanthus;NA
trac168;Plantae;Magnoliopsida;Malvales;Malvaceae;Hibiscus;Hibiscus sturtii
trac169;Plantae;NA;NA;NA;NA;NA
trac17;Plantae;Magnoliopsida;NA;NA;NA;NA
trac170;Plantae;NA;NA;NA;NA;NA
trac171;Plantae;NA;NA;NA;NA;NA
trac172;Plantae;Magnoliopsida;Fabales;Fabaceae;Indigofera;Indigofera sanguinea
trac173;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac174;Plantae;NA;NA;NA;NA;NA
trac175;Plantae;Magnoliopsida;Myrtales;Combretaceae;Terminalia;NA
trac176;Plantae;Magnoliopsida;Malpighiales;Phyllanthaceae;Phyllanthus;NA
trac177;Plantae;Magnoliopsida;Asterales;Asteraceae;NA;NA
trac178;Plantae;NA;NA;NA;NA;NA
trac179;Plantae;NA;NA;NA;NA;NA
trac18;Plantae;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha;Acalypha rhomboidea
trac180;Plantae;Magnoliopsida;Fabales;Fabaceae;Dichrostachys;NA
trac181;Plantae;NA;NA;NA;NA;NA
trac182;Plantae;Magnoliopsida;Sapindales;Rutaceae;NA;NA
trac183;Plantae;NA;NA;NA;NA;NA
trac184;Plantae;NA;NA;NA;NA;NA
trac185;Plantae;NA;NA;NA;NA;NA
trac186;Plantae;Magnoliopsida;Sapindales;Sapindaceae;Lecaniodiscus;Lecaniodiscus fraxinifolius
trac187;Plantae;NA;NA;NA;NA;NA
trac188;Plantae;NA;NA;NA;NA;NA
trac189;Plantae;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus vulgaris
trac19;Plantae;Magnoliopsida;Fabales;Fabaceae;Mundulea;NA
trac190;Plantae;NA;NA;NA;NA;NA
trac191;Plantae;Magnoliopsida;Myrtales;Myrtaceae;Syzygium;NA
trac192;Plantae;Magnoliopsida;Poales;Cyperaceae;Bulbostylis;NA
trac193;Plantae;Magnoliopsida;Poales;Poaceae;Chloris;NA
trac194;Plantae;NA;NA;NA;NA;NA
trac195;Plantae;Magnoliopsida;Cucurbitales;Cucurbitaceae;NA;NA
trac196;Plantae;NA;NA;NA;NA;NA
trac197;Plantae;NA;NA;NA;NA;NA
trac198;Plantae;NA;NA;NA;NA;NA
trac199;Plantae;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;NA
trac2;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac20;Plantae;Magnoliopsida;Sapindales;Sapindaceae;Lecaniodiscus;Lecaniodiscus fraxinifolius
trac200;Plantae;NA;Rotaliida;NA;Virgulinella;Virgulinella fragilis
trac201;Plantae;NA;NA;NA;NA;NA
trac202;Plantae;NA;NA;NA;NA;NA
trac203;Plantae;NA;NA;NA;NA;NA
trac204;Plantae;NA;NA;NA;NA;NA
trac205;Plantae;NA;NA;NA;NA;NA
trac206;Plantae;Magnoliopsida;Lamiales;Acanthaceae;Ruellia;NA
trac207;Plantae;NA;NA;NA;NA;NA
trac208;Plantae;NA;NA;NA;NA;NA
trac209;Plantae;Magnoliopsida;Sapindales;Sapindaceae;Lecaniodiscus;Lecaniodiscus fraxinifolius
trac21;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;Ficus racemosa
trac210;Plantae;NA;NA;NA;NA;NA
trac211;Plantae;NA;NA;NA;NA;NA
trac212;Plantae;Magnoliopsida;Asterales;Asteraceae;Acmella;NA
trac213;Plantae;Magnoliopsida;Malvales;Malvaceae;NA;NA
trac214;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac215;Plantae;NA;NA;NA;NA;NA
trac216;Plantae;NA;NA;NA;NA;NA
trac217;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac218;Plantae;Magnoliopsida;Lamiales;Verbenaceae;NA;NA
trac219;Plantae;NA;NA;NA;NA;NA
trac22;Plantae;Magnoliopsida;Poales;Cyperaceae;Bulbostylis;NA
trac220;Plantae;NA;NA;NA;NA;NA
trac221;Plantae;NA;NA;NA;NA;NA
trac222;Plantae;NA;NA;NA;NA;bacterium
trac223;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac224;Plantae;Magnoliopsida;Boraginales;Boraginaceae;Cynoglossum;Cynoglossum lanceolatum
trac225;Plantae;NA;NA;NA;NA;NA
trac226;Plantae;Magnoliopsida;Malvales;Malvaceae;NA;NA
trac227;Plantae;Magnoliopsida;Rosales;Rhamnaceae;Ziziphus;Ziziphus mucronata
trac228;Plantae;Magnoliopsida;Malpighiales;Euphorbiaceae;Croton;NA
trac229;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac23;Plantae;Magnoliopsida;Malvales;Malvaceae;Melhania;Melhania ovata
trac230;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac231;Plantae;Magnoliopsida;NA;NA;NA;NA
trac232;Plantae;NA;NA;NA;NA;NA
trac233;Plantae;NA;NA;NA;NA;NA
trac234;Plantae;Magnoliopsida;Celastrales;Celastraceae;NA;NA
trac235;Plantae;NA;NA;NA;NA;NA
trac236;Plantae;NA;NA;NA;NA;NA
trac237;Plantae;Magnoliopsida;Rosales;Ulmaceae;Chaetachme;Chaetachme aristata
trac238;Plantae;NA;NA;NA;NA;NA
trac239;Plantae;Magnoliopsida;NA;NA;NA;NA
trac24;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac240;Plantae;Magnoliopsida;NA;NA;NA;NA
trac241;Plantae;Mucoromycetes;Mucorales;Lichtheimiaceae;Lichtheimia;Lichtheimia brasiliensis
trac242;Plantae;NA;NA;NA;NA;NA
trac243;Plantae;NA;NA;NA;NA;NA
trac244;Plantae;NA;NA;NA;NA;NA
trac245;Plantae;NA;NA;NA;NA;NA
trac246;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac247;Plantae;Magnoliopsida;Fabales;Fabaceae;NA;NA
trac248;Plantae;Magnoliopsida;Caryophyllales;Amaranthaceae;Achyranthes;NA
trac249;Plantae;NA;NA;NA;NA;NA
trac25;Plantae;Magnoliopsida;Fabales;Fabaceae;Bauhinia;NA
trac250;Plantae;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona squamosa
trac251;Plantae;Magnoliopsida;Ericales;Sapotaceae;Mimusops;NA
trac252;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac253;Plantae;Magnoliopsida;Celastrales;Celastraceae;NA;NA
trac254;Plantae;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex;NA
trac255;Plantae;Magnoliopsida;Asterales;Asteraceae;NA;NA
trac256;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac257;Plantae;NA;NA;NA;NA;NA
trac258;Plantae;NA;NA;NA;NA;NA
trac259;Plantae;Magnoliopsida;Malvales;Malvaceae;Malvastrum;Malvastrum coromandelianum
trac26;Plantae;Magnoliopsida;Malvales;Malvaceae;NA;NA
trac260;Plantae;NA;NA;NA;NA;NA
trac261;Plantae;NA;NA;NA;NA;NA
trac262;Plantae;Magnoliopsida;Rosales;Cannabaceae;Celtis;NA
trac263;Plantae;NA;NA;NA;NA;NA
trac264;Plantae;Magnoliopsida;Asterales;Asteraceae;Senecio;NA
trac265;Plantae;Magnoliopsida;Caryophyllales;Amaranthaceae;Achyranthes;NA
trac266;Plantae;NA;NA;NA;NA;NA
trac267;Plantae;Magnoliopsida;Solanales;Convolvulaceae;Convolvulus;NA
trac268;Plantae;Magnoliopsida;Caryophyllales;Amaranthaceae;Achyranthes;NA
trac269;Plantae;Magnoliopsida;Caryophyllales;NA;NA;NA
trac27;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac270;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac271;Plantae;Magnoliopsida;Sapindales;Sapindaceae;Lecaniodiscus;Lecaniodiscus fraxinifolius
trac272;Plantae;NA;NA;NA;NA;NA
trac273;Plantae;NA;Longamoebia;Thecamoebida;Sappinia;Sappinia pedata
